Week,Date,Topic,Reading assignment,Supplemental material,
1,11-Sep,Intro to DNA and DNA sequencing technologies," ""Big Data: Astronomical or Genomical?"" [Stephens, PLoS Biology, 2015]","""Sequencing technologies - the next generation"" (Michael L. Metzker, Nature Reviews Genetics, 2010)",
2,18-Sep,Applications of DNA sequencing: Human genetics,"""Exome sequencing identifies the cause of a mendelian disorder"" [Ng et al., Nature Genetics, 2010]","""Diagnostic Applications of High-Throughput DNA Sequencing"" [Boyd, Annual Review of Pathology: Mechanisms of Disease, 2013)",
3,25-Sep,Applications of DNA sequencing technologies: Metagenomics,"(1) ""Geospatial Resolution of Human and Bacterial Diversity with City-Scale Metagenomics"" (Afshinnekoo, Cell Systems 2015) (2) Host lifestyle affects human microbiota on daily timescales [David et al., Genome Biology, 2014]
","""A Primer on Metagenomics"" [Wooley et al., PLoS Comp Bio, 2008]",
4,2-Oct,Application of DNA sequencing: Forensics,"(1) ""Genomic research and human subject privacy"" [Lin, Science, 2004] (2) ""Identifying Personal Genomes by Surname Inference"" (Gymrek et al., Science, 2013) ","""Improving human forensics through advances in genetics, genomics and molecular biology"" [Kayser et al., Nature Reviews Genetics, 2014]",
5,9-Oct,Mobile health,       ,                       ,
6,16-Oct,Mobile sequencing,"""A vision for Ubiquitous Sequencing"" (Erlich, BioRxiv, 2015) | ""Improved data analysis for the MinION nanopore sequencer"" (Jain et al., Nature Methods, 2015)","""The potential and challenges of nanopore sequencing"" [Branton et al., 2008, Nature Biotechnology]",
7,23-Oct,Hackaton I: Who is this person?,,"(1) ""poRe: an R package for the visualization and analysis of nanopore sequencing data"" [Watson et al., Bioinformatics, 2014] (2) ""Poretools: a toolkit for analyzing nanopore sequence data"" [Loman et al., Bioinformatics, 2014]
",
8,30-Oct,Analysis pipelines(1),"""Ultrafast and memory-efficient alignment of short DNA sequences
to the human genome"" [Langmead et al., Genome Biology, 2009]","""A survey of sequence alignment algorithms for next-generation sequencing"" [Li et al., Briefings in Bioinformatics, 2010]",
9,6-Nov,Presentations for hackton I,       ,                       ,
10,13-Nov,Hackaton II: What did I eat?,,                       ,
11,20-Nov,Analysis pipelines(2),"""Near-optimal RNA-Seq quantification"" [Bary et al., arXiv, 2015]",                       ,
12,27-Nov,[No class], -     , -                     ,
13,4-Dec,Presentations for hackton II,,                       ,
14,11-Dec,DNA as storage devices or computers,"(1)"" Toward practical high-capacity low-maintenance storage of digital information in synthesised DNA"" [Goldman et al., Nature, 2013] (2) ""Molecular Computation of Solutions to
Combinatorial Problems"" [Adleman, Science, 1994]",                       ,
15,18-Dec,-, -     , -                     ,
