Week,Date,Topic,Reading assignment,Supplemental material,Comments
1,9/11,Intro to DNA and DNA sequencing technologies," ""Big Data: Astronomical or Genomical?"" [Stephens, PLoS Biology, 2015]","""Sequencing technologies _ the next generation"" (Michael L. Metzker, Nature Reviews Genetics, 2010)",          
2,9/18,Applications of DNA sequencing: Human genetics,"""Exome sequencing identifies the cause of a mendelian disorder"" [Ng et al., Nature Genetics, 2010]","""Diagnostic Applications of High-Throughput DNA Sequencing"" [Boyd, Annual Review of Pathology: Mechanisms of Disease, 2013)",          
3,9/25,Applications of DNA sequencing technologies: Metagenomics,"(1) ""Geospatial Resolution of Human and Bacterial Diversity with City-Scale Metagenomics"" (Afshinnekoo, Cell Systems 2015) (2) Host lifestyle affects human microbiota on daily timescales [David et al., Genome Biology, 2014]
","] (2) ""Poretools: a toolkit for analyzing nanopore sequence data"" [Loman et al., Bioinformatics, 2014]
",          
4,10/2,Application of DNA sequencing: Forensics,"(1) ""Genomic research and human subject privacy"" [Lin, Science, 2004] (2) ""Identifying Personal Genomes by Surname Inference"" (Gymrek et al., Science, 2013) ","""Improving human forensics through advances in genetics, genomics and molecular biology"" [Kayser et al., Nature Reviews Genetics, 2014]",          
5,10/9,Mobile health,       ,                       ,Guest talk: Deborah Estrin (Cornell Tech)
6,10/16,Mobile sequencing,"""A vision for Ubiqutious Sequencing"" (Erlich, BioRxiv, 2015) | ""Improved data analysis for the MinION nanopore sequencer"" (Jain et al., Nature Methods, 2015)","""The potential and challenges of nanopore sequencing"" [Branton et al., 2008, Nature Biotechnology]",          
7,10/23,Hackaton I: Who is this person?,,"(1) ""poRe: an R package for the visualization and analysis of nanopore sequencing data"" [Watson et al., Bioinformatics, 2014] (2) ""Poretools: a toolkit for analyzing nanopore sequence data"" (Loman et al., Bioinformatics, 2014)
",          
8,10/30,Analysis pipelines(1),"""Ultrafast and memory-efficient alignment of short DNA sequences
to the human genome"" [Langmead et al., Genome Biology, 2009]","""A survey of sequence alignment algorithms for next-generation sequencing"" [Li et al., Briefings in Bioinformatics, 2010]",Submission of hackton I report
9,11/6,Presentations for hackton I,       ,                       ,          
10,11/13,Hackaton II: What did I eat?,,                       ,          
11,11/20,Analysis pipelines(2),"""Near-optimal RNA-Seq quantification"" [Bary et al., arXiv, 2015]",                       ,
12,11/27,[No class], -     , -                     ,Submission of hackton II report
13,12/4,Presentations for hackton II,,                       ,
14,12/11,DNA as storage devices or computers,"(1)"" Toward practical high-capacity low-maintenance storage of digital information in synthesised DNA"" [Goldman et al., Nature, 2013] (2) ""Molecular Computation of Solutions to
Combinatorial Problems"" [Adleman, Science, 1994]",                       ,          
15,12/18,-, -     , -                     ,Submission of final report
